case_id,final_status,notes
00658,MISSING_VARS,missing: ['S2']
00659,MISSING_VARS,missing: ['S2']
00660,MISSING_VARS,missing: ['S2']
00661,MISSING_VARS,missing: ['S1']
00662,MISSING_VARS,missing: ['S1']
00663,GROSS_MISMATCH,"max_rel_err=0.22168513066064124, worst_var=S2"
00664,GROSS_MISMATCH,"max_rel_err=0.22168990094548544, worst_var=S2"
00665,MISSING_VARS,missing: ['S1']
00666,MISSING_VARS,missing: ['S1']
00673,MISSING_VARS,missing: ['S1']
00674,MISSING_VARS,missing: ['S1']
00675,MISSING_VARS,missing: ['S1']
00687,MISSING_VARS,missing: ['S1']
00695,MISSING_VARS,missing: ['S1']
00696,MISSING_VARS,"missing: ['X0', 'S1']"
00705,MISSING_VARS,missing: ['S1']
00760,MISSING_VARS,missing: ['S1']
00761,MISSING_VARS,missing: ['S1']
00762,GROSS_MISMATCH,"max_rel_err=0.22168771200121037, worst_var=S2"
00777,GROSS_MISMATCH,"max_rel_err=1807.045147552586, worst_var=S1"
00778,MISSING_VARS,missing: ['S1']
00779,MISSING_VARS,missing: ['S1']
00780,MISSING_VARS,missing: ['S1']
00844,GROSS_MISMATCH,"max_rel_err=0.27870875407395934, worst_var=S3"
00876,MISSING_VARS,missing: ['S4']
00983,CRASH,
01000,MISSING_VARS,"missing: ['S4', 'k1', 'k2', 'kavo']"
01044,GROSS_MISMATCH,"max_rel_err=0.27870875407395934, worst_var=S3"
01054,MISSING_VARS,missing: ['S4']
01083,MISSING_VARS,missing: ['S1']
01084,MISSING_VARS,missing: ['S1']
01085,MISSING_VARS,missing: ['S4']
01086,MISSING_VARS,missing: ['S4']
01108,GROSS_MISMATCH,"max_rel_err=0.9995006007727304, worst_var=X"
01142,CRASH,
01174,MISSING_VARS,"missing: ['t3', 't4']"
01350,MISSING_VARS,"missing: ['J1', 'C', 'A__x']"
01359,MISSING_VARS,"missing: ['J1', 'A__x']"
01368,MISSING_VARS,"missing: ['J1', 'A__x']"
01377,MISSING_VARS,"missing: ['J1', 'A__x', 'A_C']"
01386,MISSING_VARS,"missing: ['J1', 'C', 'A__x']"
01479,MISSING_VARS,missing: ['P1']
01484,MISSING_VARS,"missing: ['P1', 'C', 'conversionFactor']"
01499,MISSING_VARS,"missing: ['C', 'P0', 'conversion']"
01500,MISSING_VARS,"missing: ['C', 'P0', 'conversion']"
01501,MISSING_VARS,"missing: ['C', 'P0', 'P1', 'sconversion', 'mconversion']"
01502,MISSING_VARS,"missing: ['P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10', 'P11', 'P12', 'P13', 'P14', 'P15', 'P16', 'P17', 'P18', 'P19', 'P20', 'P21', 'P22', 'P23', 'P24', 'P25', 'P26', 'P27', 'P28', 'P29', 'P30', 'P31', 'P32', 'P33', 'P34', 'P35', 'P36', 'P37']"
01503,MISSING_VARS,"missing: ['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']"
01567,MISSING_VARS,"missing: ['C', 'k']"
01575,MISSING_VARS,missing: ['k2']
01576,MISSING_VARS,missing: ['k2']
01577,MISSING_VARS,missing: ['k2']
01578,MISSING_VARS,missing: ['k1']
01579,MISSING_VARS,missing: ['k2']
01589,MISSING_VARS,missing: ['S']
